"playerId","fg","fgAtt","xp","fgMiss","analyst","player","position","games","fg0019","fg2029","fg3039","fg4049","fg50","fg0039","season"
2507225,21,NA,38.9,NA,3,"Nick Folk","K",16,2,3,8,7,1,NA,2017
2507232,26.9,NA,49.9,NA,3,"Mason Crosby","K",16,1,6.2,12.5,6.2,1,NA,2017
2507374,25.6,NA,36.4,NA,3,"Steven Hauschka","K",16,1,7.9,9.8,5.9,1,NA,2017
2507401,0,NA,0,NA,3,"Dan Carpenter","K",NA,0,0,0,0,0,NA,2017
2507463,23.3,NA,34.9,NA,3,"Connor Barth","K",16,1,3.9,8.7,7.8,1.9,NA,2017
2532968,25,NA,45.9,NA,3,"Blair Walsh","K",16,1,4.2,9.4,7.3,3.1,NA,2017
2533444,1.5,NA,2.5,NA,3,"Randy Bullock","K",16,0,0.2,0.7,0.5,0.1,NA,2017
2534797,22,NA,28.7,NA,3,"Greg Zuerlein","K",16,0,4.8,7.6,6.7,2.9,NA,2017
2536340,36.2,NA,37.3,NA,3,"Justin Tucker","K",16,1,4,11.1,13.1,7,NA,2017
2539227,26.9,NA,42.8,NA,3,"Dustin Hopkins","K",16,0,9,9.9,6,2,NA,2017
2539637,28,NA,35.9,NA,3,"Caleb Sturgis","K",16,0,9,10,6,3,NA,2017
2541556,26,NA,38.1,NA,3,"Brandon McManus","K",16,1,7,9,6,3,NA,2017
2542060,0,NA,0,NA,3,"Jordan Gay","K",NA,0,0,0,0,0,NA,2017
2550325,20.2,NA,28.7,NA,3,"Chandler Catanzaro","K",16,0,4.8,7.7,6.7,1,NA,2017
2550380,1.2,NA,2.2,NA,3,"Cody Parkey","K",16,0,0.3,0.5,0.3,0.1,NA,2017
2550545,25.8,NA,43.3,NA,3,"Chris Boswell","K",16,0,4.1,9.3,9.3,3.1,NA,2017
2550551,0,NA,0,NA,3,"Travis Coons","K",NA,0,0,0,0,0,NA,2017
2550636,26.4,NA,36.5,NA,3,"Cairo Santos","K",16,0,6.1,12.2,6.1,2,NA,2017
2553648,0,NA,0,NA,3,"Andrew Franks","K",NA,0,0,0,0,0,NA,2017
2553833,0,NA,0,NA,3,"Josh Lambo","K",NA,0,0,0,0,0,NA,2017
2553835,0,NA,0,NA,3,"Mike Meyer","K",NA,0,0,0,0,0,NA,2017
2555408,0,NA,0,NA,3,"Roberto Aguayo","K",NA,0,0,0,0,0,NA,2017
2556450,0,NA,0,NA,3,"Nick Rose","K",NA,0,0,0,0,0,NA,2017
2556521,1.7,NA,1.9,NA,3,"Kaimi Fairbairn","K",16,0,0.4,0.6,0.5,0.2,NA,2017
2556601,25,NA,47.9,NA,3,"Wil Lutz","K",16,1,5,8,8,3,NA,2017
2556607,0,NA,0,NA,3,"Ross Martin","K",NA,0,0,0,0,0,NA,2017
2556771,22.2,NA,39.3,NA,3,"Aldrick Rosas","K",16,0,5,9.1,7.1,1,NA,2017
2558178,20.8,NA,28.4,NA,3,"Zane Gonzalez","K",16,0,5.7,8.5,5.7,0.9,NA,2017
2558245,0,NA,0,NA,3,"Harrison Butker","K",16,0,0,0,0,0,NA,2017
2559205,1.6,NA,2.6,NA,3,"Younghoe Koo","K",16,0,0.4,0.7,0.4,0.1,NA,2017
71309,24,NA,36,NA,5,"Graham Gano","K",NA,NA,8,9,7,NA,NA,2017
89802,23,NA,40,NA,5,"Ryan Succop","K",NA,1,7,8,7,NA,NA,2017
2495150,24,NA,42,NA,5,"Kai Forbath","K",NA,NA,9,8,7,NA,NA,2017
2495259,22,NA,45,NA,5,"Dan Bailey","K",NA,1,8,7,6,NA,NA,2017
2500351,23,NA,37,NA,5,"Phil Dawson","K",NA,1,8,7,7,NA,NA,2017
2503471,20,NA,39,NA,5,"Adam Vinatieri","K",NA,NA,7,7,6,NA,NA,2017
2504257,20,NA,36,NA,5,"Sebastian Janikowski","K",NA,NA,7,7,6,NA,NA,2017
2504797,23,NA,48,NA,5,"Matt Bryant","K",NA,1,8,8,6,NA,NA,2017
2506194,21,NA,25,NA,5,"Nick Novak","K",NA,NA,7,7,7,NA,NA,2017
2506264,21,NA,30,NA,5,"Robbie Gould","K",NA,NA,7,7,7,NA,NA,2017
2506386,0,NA,NA,NA,5,"Mike Nugent","K",NA,NA,NA,NA,NA,NA,NA,2017
2506677,22,NA,36,NA,5,"Matt Prater","K",NA,NA,7,8,7,NA,NA,2017
2506922,22,NA,51,NA,5,"Stephen Gostkowski","K",NA,1,9,7,5,NA,NA,2017
2507225,0,NA,NA,NA,5,"Nick Folk","K",NA,NA,NA,NA,NA,NA,NA,2017
2507232,23,NA,47,NA,5,"Mason Crosby","K",NA,1,8,8,6,NA,NA,2017
2507374,20,NA,35,NA,5,"Steven Hauschka","K",NA,NA,8,6,6,NA,NA,2017
2507401,0,NA,NA,NA,5,"Dan Carpenter","K",NA,NA,NA,NA,NA,NA,NA,2017
2507463,21,NA,34,NA,5,"Connor Barth","K",NA,NA,7,7,7,NA,NA,2017
2532968,23,NA,42,NA,5,"Blair Walsh","K",NA,1,9,7,6,NA,NA,2017
2533444,19,NA,40,NA,5,"Randy Bullock","K",NA,NA,7,7,5,NA,NA,2017
2534797,20,NA,20,NA,5,"Greg Zuerlein","K",NA,NA,6,7,7,NA,NA,2017
2536340,22,NA,35,NA,5,"Justin Tucker","K",NA,NA,7,7,8,NA,NA,2017
2539227,20,NA,38,NA,5,"Dustin Hopkins","K",NA,NA,7,7,6,NA,NA,2017
2539637,21,NA,34,NA,5,"Caleb Sturgis","K",NA,NA,8,7,6,NA,NA,2017
2541556,24,NA,34,NA,5,"Brandon McManus","K",NA,1,8,9,6,NA,NA,2017
2550325,21,NA,28,NA,5,"Chandler Catanzaro","K",NA,NA,7,7,7,NA,NA,2017
2550380,20,NA,26,NA,5,"Cody Parkey","K",NA,NA,6,8,6,NA,NA,2017
2550545,22,NA,43,NA,5,"Chris Boswell","K",NA,NA,9,7,6,NA,NA,2017
2550636,22,NA,41,NA,5,"Cairo Santos","K",NA,NA,8,8,6,NA,NA,2017
2553648,22,NA,36,NA,5,"Andrew Franks","K",NA,NA,8,8,6,NA,NA,2017
2553833,21,NA,35,NA,5,"Josh Lambo","K",NA,NA,8,7,6,NA,NA,2017
2555408,21,NA,37,NA,5,"Roberto Aguayo","K",NA,NA,8,7,6,NA,NA,2017
2556521,0,NA,NA,NA,5,"Kaimi Fairbairn","K",NA,NA,NA,NA,NA,NA,NA,2017
2556601,20,NA,44,NA,5,"Wil Lutz","K",NA,NA,7,8,5,NA,NA,2017
2556771,21,NA,34,NA,5,"Aldrick Rosas","K",NA,NA,8,7,6,NA,NA,2017
2558178,0,NA,NA,NA,5,"Zane Gonzalez","K",NA,NA,NA,NA,NA,NA,NA,2017
2558245,0,NA,NA,NA,5,"Harrison Butker","K",NA,NA,NA,NA,NA,NA,NA,2017
2559205,0,NA,NA,NA,5,"Younghoe Koo","K",NA,NA,NA,NA,NA,NA,NA,2017
71309,27,32,37,5,6,"Graham Gano","K",NA,NA,NA,NA,NA,NA,NA,2017
89802,25,30,37,5,6,"Ryan Succop","K",NA,NA,NA,NA,NA,NA,NA,2017
2495150,12,14,16,2,6,"Kai Forbath","K",NA,NA,NA,NA,NA,NA,NA,2017
2495259,29,32,40,3,6,"Dan Bailey","K",NA,NA,NA,NA,NA,NA,NA,2017
2503471,28,30,37,2,6,"Adam Vinatieri","K",NA,NA,NA,NA,NA,NA,NA,2017
2504257,26,34,39,8,6,"Sebastian Janikowski","K",NA,NA,NA,NA,NA,NA,NA,2017
2504797,27,31,45,4,6,"Matt Bryant","K",NA,NA,NA,NA,NA,NA,NA,2017
2506677,27,30,32,3,6,"Matt Prater","K",NA,NA,NA,NA,NA,NA,NA,2017
