"player_id","trim_name","player_name","position","status","draft_year","years_played","gsis_id"
1984,"PAULHUBBARD","Paul Hubbard","WR","RET",2008,4,NA
1986,"ALLENPATRICK","Allen Patrick","RB","RET",2008,3,NA
1988,"DEMARIOPRESSLEY","DeMario Pressley","DL","RET",2008,5,NA
1990,"EDDIEROYAL","Eddie Royal","WR","RET",2008,9,"00-0026182"
1992,"CRAIGSTEVENS","Craig Stevens","TE","RET",2008,9,"00-0026225"
1996,"RYANTORAIN","Ryan Torain","RB","RET",2008,6,"00-0026279"
1998,"DEJUANTRIBBLE","DeJuan Tribble","CB","RET",2008,1,NA
2000,"TOMZBIKOWSKI","Tom Zbikowski","CB","RET",2008,6,NA
2002,"JOHNDAVIDBOOTY","John David Booty","QB","RET",2008,3,NA
2009,"BENMOFFITT","Ben Moffitt","LB","RET",2008,1,NA
2011,"ANTWAUNMOLDEN","Antwaun Molden","CB","RET",2008,5,NA
2013,"DAJUANMORGAN","DaJuan Morgan","CB","RET",2008,4,NA
2019,"CHASEORTIZ","Chase Ortiz","LB","RET",2008,1,NA
2058,"KIRKBARTON","Kirk Barton","OL","RET",2008,3,NA
2060,"TODDBLYTHE","Todd Blythe","WR","RET",2008,1,NA
2303,"DAVIDROACH","David Roach","CB","RET",2008,3,NA
2307,"ORLANDOSCANDRICK","Orlando Scandrick","DB","ACT",2007,11,"00-0026283"
2311,"DORIANSMITH","Dorian Smith","DL","RET",2008,1,NA
2315,"BRANDONSUMRALL","Brandon Sumrall","CB","RET",2008,1,NA
2317,"JEREMYTHOMPSON","Jeremy Thompson","DL","RET",2008,1,NA
2317,"JEREMYTHOMPSON","Jeremy Thompson","LB","RET",2009,1,NA
2321,"JUSTINTRYON","Justin Tryon","CB","RET",2008,5,NA
2323,"DAVIDVOBORA","David Vobora","LB","RET",2008,4,NA
2325,"JONATHANWILHITE","Jonathan Wilhite","CB","RET",2008,5,NA
2329,"DREMOORE","Dre Moore","DL","RET",2008,3,NA
2331,"MARIOURRUTIA","Mario Urrutia","WR","RET",2008,2,NA
2342,"ALVINBOWEN","Alvin Bowen","LB","RET",2008,4,NA
2346,"PIERREGARCON","Pierre Garcon","WR","ACT",2007,11,"00-0026345"
2348,"MARCUSHARRISON","Marcus Harrison","DL","RET",2008,5,NA
2350,"LOUISHOLMES","Louis Holmes","DL","RET",2008,2,NA
2354,"WESLEYWOODYARD","Wesley Woodyard","LB","ACT",2007,11,"00-0025828"
2637,"JAMESBLAIR","James Blair","OL","RET",2008,1,NA
2639,"DEVINCLARK","Devin Clark","OL","RET",2008,2,NA
2641,"XAVIEROMON","Xavier Omon","RB","RET",2008,5,NA
2643,"JALENPARMELE","Jalen Parmele","RB","RET",2008,8,"00-0026316"
2645,"CRAIGSTELTZ","Craig Steltz","CB","RET",2008,7,NA
2649,"DANNYAMENDOLA","Danny Amendola","WR","ACT",2008,10,"00-0026035"
2653,"JAYMARJOHNSON","Jaymar Johnson","WR","RET",2008,5,NA
2662,"YVENSONBERNARD","Yvenson Bernard","RB","RET",2008,1,NA
2664,"KROYBIERMANN","Kroy Biermann","DL","RET",2008,8,NA
2664,"KROYBIERMANN","Kroy Biermann","LB","RET",2013,3,NA
2670,"LARRYGRANT","Larry Grant","LB","RET",2008,6,NA
2674,"DARNELLJENKINS","Darnell Jenkins","WR","RET",2008,4,NA
2676,"TYRELLJOHNSON","Tyrell Johnson","CB","RET",2008,7,NA
2678,"KOLOKAPANUI","Kolo Kapanui","TE","RET",2008,2,NA
2680,"STANFORDKEGLAR","Stanford Keglar","LB","RET",2008,5,NA
2684,"SHAHEERMCBRIDE","Shaheer McBride","WR","RET",2008,2,NA
2688,"EVANMOORE","Evan Moore","WR","RET",2008,1,"00-0026123"
2688,"EVANMOORE","Evan Moore","TE","RET",2009,4,"00-0026123"
2690,"STEVEOCTAVIEN","Steve Octavien","LB","RET",2008,4,NA
2694,"BILLYPITTMAN","Billy Pittman","WR","RET",2008,1,NA
2698,"MATTERRALRICHARDSON","Matterral Richardson","CB","RET",2008,2,NA
2700,"LORNESAM","Lorne Sam","WR","RET",2008,1,NA
2702,"TYLERSCHMITT","Tyler Schmitt","OL","RET",2008,1,NA
2704,"GLENNSHARPE","Glenn Sharpe","CB","RET",2008,3,NA
2706,"ARMANSHIELDS","Arman Shields","WR","RET",2008,1,NA
2708,"CHADSIMPSON","Chad Simpson","RB","RET",2008,3,NA
2710,"BRYANSMITH","Bryan Smith","DL","RET",2008,2,NA
2710,"BRYANSMITH","Bryan Smith","LB","RET",2009,2,NA
2712,"TAJSMITH","Taj Smith","WR","RET",2008,4,NA
2716,"NEHEMIAHWARRICK","Nehemiah Warrick","CB","RET",2008,1,NA
2718,"JOEWEST","Joe West","WR","RET",2008,3,NA
4215,"MACKENZYBERNADEAU","Mackenzy Bernadeau","OL","RET",2008,9,NA
4219,"KERRYBROWN","Kerry Brown","OL","RET",2008,1,NA
4221,"DIGGERBUJNOCH","Digger Bujnoch","OL","RET",2008,2,NA
4227,"MARCUSCOLEMAN","Marcus Coleman","CB","RET",1996,11,NA
4229,"THADDEUSCOLEMAN","Thaddeus Coleman","OL","RET",2008,1,NA
4231,"JEDCOLLINS","Jed Collins","RB","RET",2008,7,"00-0026072"
4233,"BRANDONCOUTU","Brandon Coutu","K","RET",2008,3,NA
4235,"MIKECOX","Mike Cox","RB","RET",2008,5,"00-0026033"
4237,"TYSONDEVREE","Tyson DeVree","TE","RET",2008,4,NA
4239,"DERRICKDOGGETT","Derrick Doggett","LB","RET",2010,1,NA
4241,"KEILENDYKES","Keilen Dykes","DL","RET",2008,3,NA
4247,"ERICFOSTER","Eric Foster","DL","RET",2008,5,NA
4251,"RUDOLPHHARDIE","Rudolph Hardie","DL","RET",2008,2,NA
4255,"KELINJOHNSON","Kelin Johnson","CB","RET",2008,1,NA
4261,"TONYJOINER","Tony Joiner","CB","RET",2008,1,NA
4263,"BRETTKERN","Brett Kern","P","ACT",2007,11,NA
4265,"ADAMKRAUS","Adam Kraus","OL","RET",2008,1,NA
4267,"DANNYLANSANAH","Danny Lansanah","LB","RET",2008,5,NA
4269,"DOUGLEGURSKY","Doug Legursky","OL","RET",2008,8,NA
4271,"DEREKLOKEY","Derek Lokey","DL","RET",2008,3,NA
4273,"COREYLYNCH","Corey Lynch","CB","RET",2008,6,NA
4275,"MICHAELMARQUARDT","Michael Marquardt","DL","RET",2008,2,NA
4277,"JOEMAYS","Joe Mays","LB","RET",2008,8,NA
4283,"CARLTONMEDDER","Carlton Medder","OL","RET",2008,2,NA
4285,"DREWMILLER","Drew Miller","OL","RET",2008,4,NA
4291,"MAURICEMURRAY","Maurice Murray","DL","RET",2008,1,NA
4293,"LAMARMYLES","Lamar Myles","LB","RET",2008,2,NA
4295,"HARUKINAKAMURA","Haruki Nakamura","CB","RET",2008,6,"00-0026346"
4297,"OGEMDINWAGBUO","Ogemdi Nwagbuo","DL","RET",2008,6,NA
4305,"TREVORSCOTT","Trevor Scott","LB","RET",2009,4,NA
4305,"TREVORSCOTT","Trevor Scott","DL","RET",2008,6,NA
4307,"JASONSHIRLEY","Jason Shirley","OL","RET",2010,1,NA
4307,"JASONSHIRLEY","Jason Shirley","DL","RET",2008,4,NA
4309,"HENRYSMITH","Henry Smith","DL","RET",2008,1,NA
