"playerId","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","analyst","player","position","games","rush1st","rush40","rec1st","rec40","returnYds","returnTds","twoPts","rush100","rush150","rush200","regTds","season"
2532797,0,0,0,0,0,0,0,3,"Brandon Bolden","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2532835,0,0,0,0,0,0,0,3,"Rhett Ellison","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2532899,0,0,0,0,0,0,0,3,"Doug Martin","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2533034,0,0,0,0,0,0,0,3,"Lamar Miller","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2533437,0,0,0,0,0,0,0,3,"Ronnie Hillman","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2533457,0,0,0,0,0,0,0,3,"Alfred Morris","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2533460,0,0,0,0,0,0,0,3,"Robert Turbin","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2533545,0,0,0,0,0,0,0,3,"Bernard Pierce","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2534789,0,0,0,0,0,0,0,3,"Daryl Richardson","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2534871,0,0,0,0,0,0,0,3,"Derrick Coleman","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2535696,0,0,0,0,0,0,0,3,"Joe Banyard","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2535708,0,0,0,0,0,0,0,3,"Lance Dunbar","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2535890,0,0,0,0,0,0,0,3,"Travaris Cadet","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2536044,0,0,0,0,0,0,0,3,"Jamize Olawale","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2539217,0,0,0,0,0,0,0,3,"Andre Ellington","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2539260,0,0,0,0,0,0,0,3,"Denard Robinson","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2539265,0,0,0,0,0,0,0,3,"Rex Burkhead","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2539289,0,0,0,0,0,0,0,3,"Kenjon Barner","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2539303,0,0,0,0,0,0,0,3,"Zach Line","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2539315,0,0,0,0,0,0,0,3,"Stepfan Taylor","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2539322,0,0,0,0,0,0,0,3,"Christine Michael","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2539663,0,0,0,0,0,0,0,3,"Mike Gillislee","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2539980,0,0,0,0,0,0,0,3,"Kerwynn Williams","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540011,0,0,0,0,0,0,0,3,"Chris Thompson","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540020,0,0,0,0,0,0,0,3,"Theo Riddick","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540037,0,0,0,0,0,0,0,3,"Fozzy Whittaker","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540156,0,0,0,0,0,0,0,3,"Giovani Bernard","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540168,0,0,0,0,0,0,0,3,"Eddie Lacy","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540175,0,0,0,0,0,0,0,3,"LeVeon Bell","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540178,0,0,0,0,0,0,0,3,"Knile Davis","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540204,0,0,0,0,0,0,0,3,"Spencer Ware","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540224,0,0,0,0,0,0,0,3,"Mike James","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540225,0,0,0,0,0,0,0,3,"Tommy Bohanon","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540230,0,0,0,0,0,0,0,3,"Kyle Juszczyk","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2540269,0,0,0,0,0,0,0,3,"C.J. Anderson","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2541161,0,0,0,0,0,0,0,3,"Latavius Murray","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
