"playerId","dstInt","dstFumlRec","dstSack","dstTd","dstSafety","dstPtsAllow","analyst","player","position","games","dstBlk","returnYds","dstRetTd","season"
100009,NA,NA,NA,NA,NA,NA,5,"Broncos","DST",NA,NA,NA,NA,2016
100010,NA,NA,NA,NA,NA,NA,5,"Lions","DST",NA,NA,NA,NA,2016
100011,NA,NA,NA,NA,NA,NA,5,"Packers","DST",NA,NA,NA,NA,2016
100012,NA,NA,NA,NA,NA,NA,5,"Titans","DST",NA,NA,NA,NA,2016
100013,NA,NA,NA,NA,NA,NA,5,"Texans","DST",NA,NA,NA,NA,2016
100014,NA,NA,NA,NA,NA,NA,5,"Colts","DST",NA,NA,NA,NA,2016
100015,NA,NA,NA,NA,NA,NA,5,"Jaguars","DST",NA,NA,NA,NA,2016
100016,NA,NA,NA,NA,NA,NA,5,"Chiefs","DST",NA,NA,NA,NA,2016
100018,NA,NA,NA,NA,NA,NA,5,"Raiders","DST",NA,NA,NA,NA,2016
100019,NA,NA,NA,NA,NA,NA,5,"Dolphins","DST",NA,NA,NA,NA,2016
100020,NA,NA,NA,NA,NA,NA,5,"Vikings","DST",NA,NA,NA,NA,2016
100021,NA,NA,NA,NA,NA,NA,5,"Patriots","DST",NA,NA,NA,NA,2016
100022,NA,NA,NA,NA,NA,NA,5,"Saints","DST",NA,NA,NA,NA,2016
100023,NA,NA,NA,NA,NA,NA,5,"Giants","DST",NA,NA,NA,NA,2016
100024,NA,NA,NA,NA,NA,NA,5,"Jets","DST",NA,NA,NA,NA,2016
100025,NA,NA,NA,NA,NA,NA,5,"Eagles","DST",NA,NA,NA,NA,2016
100026,NA,NA,NA,NA,NA,NA,5,"Cardinals","DST",NA,NA,NA,NA,2016
100027,NA,NA,NA,NA,NA,NA,5,"Steelers","DST",NA,NA,NA,NA,2016
100028,NA,NA,NA,NA,NA,NA,5,"Rams","DST",NA,NA,NA,NA,2016
100029,NA,NA,NA,NA,NA,NA,5,"49ers","DST",NA,NA,NA,NA,2016
100030,NA,NA,NA,NA,NA,NA,5,"Seahawks","DST",NA,NA,NA,NA,2016
100031,NA,NA,NA,NA,NA,NA,5,"Buccaneers","DST",NA,NA,NA,NA,2016
100032,NA,NA,NA,NA,NA,NA,5,"Redskins","DST",NA,NA,NA,NA,2016
100001,16,6,31,1,0,361,6,"Falcons","DST",NA,1,NA,0,2016
100002,17,6,38,1,1,340,6,"Ravens","DST",NA,1,NA,0,2016
100003,15,5,35,1,0,354,6,"Bills","DST",NA,0,NA,0,2016
100004,17,6,38,1,0,362,6,"Panthers","DST",NA,0,NA,0,2016
100005,11,6,37,0,0,398,6,"Bears","DST",NA,0,NA,0,2016
100006,18,5,36,1,0,364,6,"Bengals","DST",NA,0,NA,0,2016
